Id,Title,Latitude,Longitude,Image
P143,Title143,37.6,96.3,Image1
P144,Title144,37.6,102.47,Image1
P145,Title145,39.09,101.65,Image1
P146,Title146,42.62,94.81,Image2
P147,Title147,46.2,101.03,Image3
P148,Title148,37.82,101.58,Image4
P149,Title149,43.55,96.54,Image5
P150,Title150,44.37,94.53,Image6
P151,Title151,44.84,100.17,Image7
P152,Title152,40.98,102.35,Image8
P153,Title153,42.09,100.21,Image9
P154,Title154,39.67,99.71,Image10
P155,Title155,37.42,100.13,Image1
P156,Title156,43.48,97.19,Image1
P157,Title157,41.96,93.14,Image1
P158,Title158,40.76,97.84,Image2
P159,Title159,38.28,101.31,Image3
P160,Title160,46.69,94.57,Image4
P161,Title161,44.7,101.93,Image5
P162,Title162,45.95,94.03,Image6
P163,Title163,40.53,95.6,Image7
P164,Title164,38.8,96.89,Image8
P165,Title165,37.59,99.46,Image9
P166,Title166,45.19,101.43,Image10
P167,Title167,49.03,96.69,Image1
P168,Title168,42.47,97.29,Image1
P169,Title169,41.68,97.99,Image1
P170,Title170,41.45,98.68,Image2
P171,Title171,48.26,93.96,Image3
P172,Title172,39.13,102.19,Image4
P173,Title173,39.97,97.41,Image5
P174,Title174,44.52,92.19,Image6
P175,Title175,42.61,93.76,Image7
P176,Title176,40.16,98.39,Image8
P177,Title177,44.7,93.33,Image9
P178,Title178,44.83,93.58,Image10
P179,Title179,45.05,93.71,Image1
P180,Title180,37.94,96.64,Image1
P181,Title181,37.41,92.33,Image1
P182,Title182,37.67,95.27,Image2
P183,Title183,37.8,98.73,Image3
P184,Title184,40.69,95.45,Image4
P185,Title185,46.67,93.98,Image5
P186,Title186,39.54,99.34,Image6
P187,Title187,39.07,99.65,Image7
P188,Title188,38.43,92.06,Image8
P189,Title189,43.2,101.96,Image9
P190,Title190,41.08,97.73,Image10
P191,Title191,41.33,97.97,Image1
P192,Title192,37.74,99.46,Image1
P193,Title193,43.31,98.9,Image1
P194,Title194,48.07,94,Image2
P195,Title195,45.21,92.7,Image3
P196,Title196,42.76,101.08,Image4
P197,Title197,46.23,92.27,Image5
P198,Title198,41.29,99.58,Image6
P199,Title199,44.6,97.67,Image7
P200,Title200,42.08,97.41,Image8
P201,Title201,46.34,101.04,Image9
P202,Title202,48.38,99.78,Image10
P203,Title203,48.94,100.52,Image1
P204,Title204,40.97,100.92,Image1
P205,Title205,40.04,95.2,Image1
P206,Title206,44.74,97.51,Image2
P207,Title207,40.26,96.56,Image3
P208,Title208,48.58,98.58,Image4
P209,Title209,45.93,93.05,Image5
P210,Title210,38.53,94.93,Image6
P211,Title211,41.12,93.7,Image7
P212,Title212,41.57,93.48,Image8
P213,Title213,40.3,93.35,Image9
P214,Title214,38.71,96.05,Image10
P215,Title215,40.74,96.84,Image1
P216,Title216,47.87,99.65,Image1
P217,Title217,48.62,92.17,Image1
P218,Title218,39.44,95.49,Image2
P219,Title219,45.74,92.66,Image3
P220,Title220,41.83,96.76,Image4
P221,Title221,48.73,96.55,Image5
P222,Title222,37.44,101.31,Image6
P223,Title223,44.65,98.33,Image7
P224,Title224,40.72,93.65,Image8
P225,Title225,40.75,99.75,Image9
P226,Title226,41.89,92.26,Image10
P227,Title227,38.56,100.19,Image1
P228,Title228,39.67,92.51,Image1
P229,Title229,41.35,95.38,Image1
P230,Title230,39.4,92.29,Image2
P231,Title231,41.18,100.66,Image3
P232,Title232,49.04,97.59,Image4
P233,Title233,39.16,99.99,Image5
P234,Title234,47.58,97.68,Image6
P235,Title235,38.66,94.67,Image7
P236,Title236,45.31,95.2,Image8
P237,Title237,47.28,96.54,Image9
P238,Title238,45.78,94.65,Image10
P239,Title239,46.36,98.73,Image1
P240,Title240,45.56,94,Image1
P241,Title241,43.45,93.25,Image1
P242,Title242,42.51,97.78,Image2
P243,Title243,42.98,98.96,Image3
P244,Title244,38.51,97.26,Image4
P245,Title245,47.9,95.25,Image5
P246,Title246,38.13,92.1,Image6
P247,Title247,45.28,96.29,Image7
P248,Title248,48.24,101.14,Image8
P249,Title249,39.55,98.67,Image9
P250,Title250,40.37,94.21,Image10
P251,Title251,37.7,99.95,Image1
P252,Title252,45.58,95.62,Image1
P253,Title253,38.37,99.4,Image1
P254,Title254,41.13,100.27,Image2
P255,Title255,38.19,92.69,Image3
P256,Title256,37.27,97.13,Image4
P257,Title257,48.78,101.27,Image5
P258,Title258,46.25,101.24,Image6
P259,Title259,44.56,93.73,Image7
P260,Title260,41.93,94.58,Image8
P261,Title261,41.72,100.8,Image9
P262,Title262,48.62,98.17,Image10
P263,Title263,40.57,97.8,Image1
P264,Title264,48.79,92.76,Image1
P265,Title265,48.36,98.41,Image1
P266,Title266,42.41,92.9,Image2
P267,Title267,40.16,91.49,Image3
P268,Title268,46.42,99.86,Image4
P269,Title269,45.2,98.15,Image5
P270,Title270,46.7,92.12,Image6
P271,Title271,43.08,100.07,Image7
P272,Title272,43.27,98.1,Image8
P273,Title273,45.23,100.73,Image9
P274,Title274,38.29,95.01,Image10
P275,Title275,42.14,101.06,Image1
P276,Title276,41.31,99.08,Image1
P277,Title277,45.17,97.12,Image1
P278,Title278,44.08,97.33,Image2
P279,Title279,45.49,92.79,Image3
P280,Title280,46.58,98.01,Image4
P281,Title281,45.39,92.42,Image5
P282,Title282,46.66,97.42,Image6
P283,Title283,44.22,99.1,Image7
P284,Title284,47.9,93.4,Image8
P285,Title285,38.38,92.18,Image9
P286,Title286,43.58,91.87,Image10
P287,Title287,38.44,93.51,Image1
P288,Title288,41.68,91.27,Image1
P289,Title289,44.64,95.98,Image1
P290,Title290,39.95,91.16,Image2
P291,Title291,46.31,98.98,Image3
P292,Title292,39.84,95.53,Image4
P293,Title293,37.62,95.43,Image5
P294,Title294,44.78,98.32,Image6
P295,Title295,47.2,91.58,Image7
P296,Title296,37.04,98.64,Image8
P297,Title297,46.71,96.34,Image9
P298,Title298,48.76,95.69,Image10
P299,Title299,41.37,99.26,Image1
P300,Title300,48.1,99.03,Image1
P301,Title301,45.86,97.33,Image1
P302,Title302,47.87,97.88,Image2
P303,Title303,39.34,98.9,Image3
P304,Title304,41.73,94.63,Image4
P305,Title305,42.85,99.46,Image5
P306,Title306,48.52,91.15,Image6
P307,Title307,37.37,97.95,Image7
P308,Title308,43.65,93.81,Image8
P309,Title309,42.79,94.35,Image9
P310,Title310,40.64,92.04,Image10
P311,Title311,38.29,98.83,Image1
P312,Title312,37.1,98.09,Image1
P313,Title313,42.84,100.25,Image1
P314,Title314,48.35,100.7,Image2
P315,Title315,47.98,97.31,Image3
P316,Title316,47.78,93.05,Image4
P317,Title317,37.77,98.5,Image5
P318,Title318,46.7,96.75,Image6
P319,Title319,40.83,98.22,Image7
P320,Title320,47.27,96.61,Image8
P321,Title321,43.36,94.98,Image9
P322,Title322,40.08,97.86,Image10
P323,Title323,46.37,94.41,Image1
P324,Title324,44.06,96.31,Image1
P325,Title325,39.19,93.82,Image1
P326,Title326,48.79,94.23,Image2
P327,Title327,44.55,97.68,Image3
P328,Title328,38.12,99.62,Image4
P329,Title329,47.88,93.09,Image5
P330,Title330,41.41,93.91,Image6
P331,Title331,43.78,92.3,Image7
P332,Title332,46.09,93.95,Image8
P333,Title333,42.32,94.74,Image9
P334,Title334,45.35,97.22,Image10
P335,Title335,47.16,94.95,Image1
P336,Title336,47.16,95.4,Image1
P337,Title337,47.91,93.39,Image1
P338,Title338,47.32,100.29,Image2
P339,Title339,47.11,96.82,Image3
P340,Title340,38.74,97.89,Image4
P341,Title341,41.47,91.38,Image5
P342,Title342,42.17,90.8,Image6
P343,Title343,47.76,96.44,Image7
P344,Title344,45.85,96.78,Image8
P345,Title345,43.67,99.67,Image9
P346,Title346,39.57,91.11,Image10
P347,Title347,45.38,94.19,Image1
P348,Title348,39.28,93.57,Image1
P349,Title349,48.7,96.79,Image1
P350,Title350,45.3,96.76,Image2
P351,Title351,44.07,92,Image3
P352,Title352,44.76,90.71,Image4
P353,Title353,38.19,90.78,Image5
P354,Title354,48.4,90.61,Image6
P355,Title355,43.15,94.14,Image7
P356,Title356,43.95,98.3,Image8
P357,Title357,40.83,91.04,Image9
P358,Title358,37.06,95.51,Image10
P359,Title359,43.45,97.72,Image1
P360,Title360,39.36,96.54,Image1
P361,Title361,46.86,100.07,Image1
P362,Title362,44.44,90.78,Image2
P363,Title363,38.8,93.72,Image3
P364,Title364,46.4,90.81,Image4
P365,Title365,44.96,97.25,Image5
P366,Title366,37.29,90.5,Image6
P367,Title367,46.04,92.08,Image7
P368,Title368,42.38,98.15,Image8
P369,Title369,44.39,99.25,Image9
P370,Title370,38.72,93.84,Image10
P371,Title371,37.83,96.89,Image1
P372,Title372,37.68,97.13,Image1
P373,Title373,44.37,94.58,Image1
P374,Title374,39.7,90.24,Image2
P375,Title375,41.62,100.07,Image3
P376,Title376,41.02,94.82,Image4
P377,Title377,47.14,91.68,Image5
P378,Title378,36.92,94.98,Image6
P379,Title379,46.97,94.6,Image7
P380,Title380,41.97,97.78,Image8
P381,Title381,46.87,93.07,Image9
P382,Title382,45.43,92.77,Image10
P383,Title383,38.56,90.63,Image1
P384,Title384,40.68,95.95,Image1
P385,Title385,36.94,100.06,Image1
P386,Title386,45.75,99.92,Image2
P387,Title387,43.28,90.68,Image3
P388,Title388,37.92,91.2,Image4
P389,Title389,45.53,95.43,Image5
P390,Title390,43.83,97.75,Image6
P391,Title391,46.54,92.15,Image7
P392,Title392,45.44,94.52,Image8
P393,Title393,44.3,93.58,Image9
P394,Title394,41.54,92.7,Image10
P395,Title395,44.2,98.32,Image1
P396,Title396,47.73,98.52,Image1
P397,Title397,45.87,90.72,Image1
P398,Title398,42.26,91.04,Image2
P399,Title399,43.37,91.19,Image3
P400,Title400,41.19,94.34,Image4
P401,Title401,37.04,99.4,Image5
P402,Title402,38.93,98.36,Image6
P403,Title403,44.42,92.22,Image7
P404,Title404,39.82,94.55,Image8
P405,Title405,45.44,94.98,Image9
P406,Title406,43.28,96.87,Image10
P407,Title407,39.51,99.35,Image1
P408,Title408,47.41,96.13,Image1
P409,Title409,40.38,93.59,Image1
P410,Title410,37.8,95.75,Image2
P411,Title411,41.78,91.43,Image3
P412,Title412,47.28,90.15,Image4
P413,Title413,43.88,93.74,Image5
P414,Title414,46.81,92.47,Image6
P415,Title415,42.74,93.31,Image7
P416,Title416,39.69,97.32,Image8
P417,Title417,38.38,96.53,Image9
P418,Title418,46.38,95.35,Image10
P419,Title419,37.99,97.83,Image1
P420,Title420,39.87,90.82,Image1
P421,Title421,41.31,91.45,Image1
P422,Title422,47.57,90.32,Image2
P423,Title423,48.59,92.99,Image3
P424,Title424,36.83,90.74,Image4
P425,Title425,46.87,97.65,Image5
P426,Title426,42.46,97.11,Image6
P427,Title427,44.4,95.3,Image7
P428,Title428,47.82,96.58,Image8
P429,Title429,43.24,92.84,Image9
P430,Title430,45.68,92.87,Image10
P431,Title431,38.74,92.95,Image1
P432,Title432,46.71,96.97,Image1
P433,Title433,39.74,94.59,Image1
P434,Title434,46.82,93.37,Image2
P435,Title435,38.54,94.52,Image3
P436,Title436,39.16,98.19,Image4
P437,Title437,41.82,91.19,Image5
P438,Title438,40.41,94.87,Image6
P439,Title439,41.4,91.91,Image7
P440,Title440,44.72,95.62,Image8
P441,Title441,46.74,91.84,Image9
P442,Title442,38.86,91.8,Image10
P443,Title443,45.73,98.44,Image1
P444,Title444,36.85,94.64,Image1
P445,Title445,39.58,98.47,Image1
P446,Title446,37.12,98.2,Image2
P447,Title447,43.48,95.41,Image3
P448,Title448,38.97,90.26,Image4
P449,Title449,44.61,93.72,Image5
P450,Title450,44.34,93.33,Image6
P451,Title451,39.48,93.45,Image7
P452,Title452,37.51,96.86,Image8
P453,Title453,37.53,92.51,Image9
P454,Title454,37.35,94.18,Image10
P455,Title455,36.86,96.69,Image1
P456,Title456,48.1,92.27,Image1
P457,Title457,43.67,96.83,Image1
P458,Title458,41.31,90.24,Image2
P459,Title459,38.9,91.18,Image3
P460,Title460,37.84,92.83,Image4
P461,Title461,41.72,95.93,Image5
P462,Title462,42.12,98.56,Image6
P463,Title463,48.39,90.68,Image7
P464,Title464,45.8,98.37,Image8
P465,Title465,39.87,96.84,Image9
P466,Title466,38.24,99.17,Image10
P467,Title467,37.02,95.99,Image1
P468,Title468,42.71,98.9,Image1
P469,Title469,46.22,92.09,Image1
P470,Title470,38.33,93.94,Image2
P471,Title471,39.97,96.22,Image3
P472,Title472,45.98,96.99,Image4
P473,Title473,42.15,94.8,Image5
P474,Title474,42.32,94.18,Image6
P475,Title475,42.01,93.06,Image7
P476,Title476,36.95,92.45,Image8
P477,Title477,46.51,92.94,Image9
P478,Title478,46.45,94.72,Image10
P479,Title479,44.46,91.37,Image1
P480,Title480,46.62,98.46,Image1
P481,Title481,37.39,97.8,Image1
P482,Title482,43.87,94.97,Image2
P483,Title483,45.28,92.24,Image3
P484,Title484,46.73,90.77,Image4
P485,Title485,41.31,93.74,Image5
P486,Title486,43.24,89.7,Image6
P487,Title487,39.54,96.92,Image7
P488,Title488,42.31,93.92,Image8
P489,Title489,42.61,99,Image9
P490,Title490,47,94.97,Image10
P491,Title491,42.64,92.51,Image1
P492,Title492,44.73,91.31,Image1
P493,Title493,40.79,89.74,Image1
P494,Title494,41.76,97.06,Image2
P495,Title495,45.52,93.1,Image3
P496,Title496,39.39,98.04,Image4
P497,Title497,46.7,92.17,Image5
P498,Title498,44.41,94.61,Image6
P499,Title499,42.22,92.08,Image7
P500,Title500,40.88,98.17,Image8
P501,Title501,39.26,89.77,Image9
P502,Title502,46.49,97.06,Image10
P503,Title503,44.99,94.36,Image1
P504,Title504,43.9,90.58,Image1
P505,Title505,39.56,95.59,Image1
P506,Title506,38.34,94.52,Image2
P507,Title507,41.4,89.21,Image3
P508,Title508,40.82,89.89,Image4
P509,Title509,42.22,91.68,Image5
P510,Title510,45.63,97.1,Image6
P511,Title511,42.51,97.42,Image7
P512,Title512,40.03,91.69,Image8
P513,Title513,38.6,90.38,Image9
P514,Title514,41.74,93.86,Image10
P515,Title515,38.67,98.64,Image1
P516,Title516,46.04,93.53,Image1
P517,Title517,45.9,94.82,Image1
P518,Title518,46.61,94.45,Image2
P519,Title519,42.08,97.4,Image3
P520,Title520,37.4,95.98,Image4
P521,Title521,46.74,98.21,Image5
P522,Title522,41.57,98.62,Image6
P523,Title523,38.38,88.77,Image7
P524,Title524,41.63,90.05,Image8
P525,Title525,47.17,94.29,Image9
P526,Title526,40.69,91.48,Image10
P527,Title527,44.7,97.19,Image1
P528,Title528,36.9,90.44,Image1
P529,Title529,43.79,93.48,Image1
P530,Title530,38.27,94.99,Image2
P531,Title531,42.39,94.38,Image3
P532,Title532,37.83,95.93,Image4
P533,Title533,41.88,92.21,Image5
P534,Title534,46.83,98.36,Image6
P535,Title535,47.69,94.87,Image7
P536,Title536,41.25,91.12,Image8
P537,Title537,41.25,94.88,Image9
P538,Title538,47.44,92.8,Image10
P539,Title539,46.72,90.1,Image1
P540,Title540,39.07,96.17,Image1
P541,Title541,41.64,90.88,Image1
P542,Title542,36.65,98.45,Image2
P543,Title543,40.02,94.47,Image3
P544,Title544,44.23,93.56,Image4
P545,Title545,38.54,91.34,Image5
P546,Title546,45.69,93.91,Image6
P547,Title547,37.02,89.56,Image7
P548,Title548,42.86,93.5,Image8
P549,Title549,43.02,92.79,Image9
P550,Title550,46.61,91.07,Image10
P551,Title551,47.57,94.7,Image1
P552,Title552,40.59,92.09,Image1
P553,Title553,42.66,97.48,Image1
P554,Title554,46.59,90.74,Image2
P555,Title555,37.06,95.12,Image3
P556,Title556,38.22,88.88,Image4
P557,Title557,39.13,92.64,Image5
P558,Title558,39.36,96.9,Image6
P559,Title559,42.25,90.97,Image7
P560,Title560,38.58,92.84,Image8
P561,Title561,37.29,93.35,Image9
P562,Title562,36.9,89.78,Image10
P563,Title563,48.1,93.33,Image1
P564,Title564,45.87,88.38,Image1
P565,Title565,43.7,96.22,Image1
P566,Title566,48.24,90.9,Image2
P567,Title567,45.11,95.56,Image3
P568,Title568,45.25,95.59,Image4
P569,Title569,39.22,93.72,Image5
P570,Title570,42.85,95.13,Image6
P571,Title571,41.14,91.06,Image7
P572,Title572,38.03,91.21,Image8
P573,Title573,37.51,91.21,Image9
P574,Title574,46.96,97.79,Image10
P575,Title575,45.32,90.89,Image1
P576,Title576,42.29,89.41,Image1
P577,Title577,44.33,91.64,Image1
P578,Title578,44.73,97.13,Image2
P579,Title579,44.14,97.22,Image3
P580,Title580,43.96,94.16,Image4
P581,Title581,47.27,94.88,Image5
P582,Title582,42.44,94.99,Image6
P583,Title583,41.1,91.04,Image7
P584,Title584,42.68,97.03,Image8
P585,Title585,36.9,91.58,Image9
P586,Title586,45.54,91,Image10
P587,Title587,42.2,95.24,Image1
P588,Title588,39.07,97.27,Image1
P589,Title589,38.94,93.77,Image1
P590,Title590,36.88,88.21,Image2
P591,Title591,40.57,96.36,Image3
P592,Title592,41.9,93.07,Image4
P593,Title593,44.39,96.82,Image5
P594,Title594,47.85,90.49,Image6
P595,Title595,44.56,91.15,Image7
P596,Title596,43.81,95.79,Image8
P597,Title597,39.41,90.16,Image9
P598,Title598,44.89,94.49,Image10
P599,Title599,40.5,96.28,Image1
P600,Title600,37.9,91.03,Image1
P601,Title601,39.6,96.33,Image1
P602,Title602,40.86,91.63,Image2
P603,Title603,36.59,92.33,Image3
P604,Title604,42.16,93.45,Image4
P605,Title605,36.71,90.62,Image5
P606,Title606,39.94,97.83,Image6
P607,Title607,37.02,95.31,Image7
P608,Title608,41.66,94.07,Image8
P609,Title609,44.31,96.12,Image9
P610,Title610,39.56,91.48,Image10
P611,Title611,38.73,91.98,Image1
P612,Title612,37.82,92.01,Image1
P613,Title613,36.51,91.31,Image1
P614,Title614,39.83,92.34,Image2
P615,Title615,38.19,97.14,Image3
P616,Title616,36.48,94.54,Image4
P617,Title617,44.26,89.91,Image5
P618,Title618,38.15,96.91,Image6
P619,Title619,38.24,94.14,Image7
P620,Title620,38.09,92.09,Image8
P621,Title621,41.17,95.31,Image9
P622,Title622,37.43,87.91,Image10
P623,Title623,36.58,91.92,Image1
P624,Title624,47.92,97.4,Image1
P625,Title625,45.65,94.22,Image1
P626,Title626,39.57,88.45,Image2
P627,Title627,40,94.53,Image3
P628,Title628,43.37,90.31,Image4
P629,Title629,41.1,96.79,Image5
P630,Title630,46.61,93.49,Image6
P631,Title631,43.71,91.8,Image7
P632,Title632,42.43,92.33,Image8
P633,Title633,38.99,92.95,Image9
P634,Title634,47.24,94.19,Image10
P635,Title635,38.15,91.9,Image1
P636,Title636,36.36,87.67,Image1
P637,Title637,36.62,97.16,Image1
P638,Title638,41.19,92.8,Image2
P639,Title639,36.4,89.46,Image3
P640,Title640,44.61,89.66,Image4
P641,Title641,44.37,96.33,Image5
P642,Title642,36.92,88.62,Image6
P643,Title643,46.68,95.12,Image7
P644,Title644,36.97,94.32,Image8
P645,Title645,48.2,88.09,Image9
P646,Title646,45.3,87.68,Image10
P647,Title647,37.09,94.98,Image1
P648,Title648,47.19,95.12,Image1
P649,Title649,40.22,89.23,Image1
P650,Title650,46.8,91.68,Image2
P651,Title651,38.95,90.99,Image3
P652,Title652,36.83,95.49,Image4
P653,Title653,37.15,96.42,Image5
P654,Title654,44.66,93.92,Image6
P655,Title655,46.05,95.74,Image7
P656,Title656,43.67,88.31,Image8
P657,Title657,45.41,94,Image9
P658,Title658,43.72,92.66,Image10
P659,Title659,42.08,87.56,Image1
P660,Title660,47.52,93.79,Image1
P661,Title661,42.71,96.07,Image1
P662,Title662,37.25,94.65,Image2
P663,Title663,47.53,94.55,Image3
P664,Title664,45.59,90.06,Image4
P665,Title665,36.84,92.62,Image5
P666,Title666,39.6,94.3,Image6
P667,Title667,44.37,88.29,Image7
P668,Title668,40.44,92.82,Image8
P669,Title669,37.57,91.79,Image9
P670,Title670,36.97,96.26,Image10
P671,Title671,47.82,90.96,Image1
P672,Title672,42.53,93.48,Image1
P673,Title673,44.37,93.3,Image1
P674,Title674,44,91.82,Image2
P675,Title675,45.5,91.7,Image3
P676,Title676,36.42,96.98,Image4
P677,Title677,47.8,89.84,Image5
P678,Title678,36.64,91.89,Image6
P679,Title679,43.23,90.68,Image7
P680,Title680,42.75,93.85,Image8
P681,Title681,45.3,96.54,Image9
P682,Title682,38.9,92.05,Image10
P683,Title683,39.78,91.88,Image1
P684,Title684,38.9,92.65,Image1
P685,Title685,39.26,90.57,Image1
P686,Title686,44.02,87.38,Image2
P687,Title687,43.98,88.18,Image3
P688,Title688,44.52,92.3,Image4
P689,Title689,48.13,95.53,Image5
P690,Title690,41.57,87.56,Image6
P691,Title691,46.25,94.46,Image7
P692,Title692,44.87,95.61,Image8
P693,Title693,44.32,88.01,Image9
P694,Title694,41.1,94.89,Image10
P695,Title695,40.09,87.49,Image1
P696,Title696,40.09,88.26,Image1
P697,Title697,47.82,95.98,Image1
P698,Title698,45.74,90.87,Image2
P699,Title699,47.7,93.39,Image3
P700,Title700,43.41,89.8,Image4
P701,Title701,43.12,91.2,Image5
P702,Title702,40.53,88.9,Image6
P703,Title703,47.04,96.14,Image7
P704,Title704,46.36,95.71,Image8
P705,Title705,38.48,90.43,Image9
P706,Title706,38.79,93.66,Image10
P707,Title707,36.65,93.32,Image1
P708,Title708,43.99,92.29,Image1
P709,Title709,37.15,92.62,Image1
P710,Title710,41.23,89.9,Image2
P711,Title711,45.52,87.24,Image3
P712,Title712,36.22,88.21,Image4
P713,Title713,41.44,91.88,Image5
P714,Title714,41.26,96.04,Image6
P715,Title715,42.27,92.69,Image7
P716,Title716,44.33,89.63,Image8
P717,Title717,45.37,88.37,Image9
P718,Title718,45.15,90.49,Image10
P719,Title719,36.99,94.74,Image1
P720,Title720,40.57,87.74,Image1
P721,Title721,46.77,91.9,Image1
P722,Title722,42.42,90.86,Image2
P723,Title723,48.09,92.41,Image3
P724,Title724,40.05,90.44,Image4
P725,Title725,40.6,95.42,Image5
P726,Title726,45.22,89.14,Image6
P727,Title727,41.2,86.9,Image7
P728,Title728,42.94,92.3,Image8
P729,Title729,42.22,88.14,Image9
P730,Title730,42.06,88.03,Image10
P731,Title731,46.82,95.26,Image1
P732,Title732,45.9,89.26,Image1
P733,Title733,36.5,90.61,Image1
P734,Title734,38.5,96.37,Image2
P735,Title735,41.62,92.87,Image3
P736,Title736,44.94,87.33,Image4
